runSeed,testYear,wDE,wCOBYLA
3687649985,2021,"[0.33479048078874896, 0.3586755384348895, 0.2720089385046749, 0.03452504227168666]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
3687649985,2022,"[0.2919411998718703, 0.47000213158293525, 0.21482062236398508, 0.023236046181209533]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
3687649985,2023,"[0.33845128609903113, 0.5404895576914843, 0.08003040999854401, 0.04102874621094055]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
369133708,2007,"[0.42940432116154403, 0.2130677125328119, 0.3093706262296994, 0.048157340075944646]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
369133708,2008,"[0.6135223723573339, 0.2985085774013418, 0.08725469092127654, 0.0007143593200478656]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
369133708,2009,"[0.5104859143744244, 0.2909779457527531, 0.16346045067572332, 0.035075689197099254]","[0.337534238005335, 0.20113856888932638, 0.3387138228486511, 0.1226133702566875]"
369133708,2010,"[0.5752175056980976, 0.03038250497347332, 0.30603924484825995, 0.08836074448016906]","[0.4847921198196635, 0.16085439257436135, 0.12647865778329312, 0.22787482982268178]"
369133708,2011,"[0.5686289062920648, 0.24184223568479904, 0.1895182751108682, 1.058291226803662e-05]","[0.47571990240802886, 0.13367067310251646, 0.2105562614058432, 0.18005316308361158]"
369133708,2012,"[0.5720907512405924, 0.24094182050071794, 0.18692315667138065, 4.427158730906966e-05]","[0.4113674861598244, 0.136543189302122, 0.23603195866223253, 0.21605736587582106]"
369133708,2013,"[0.5261672273252631, 0.30966934747570163, 0.14435204466329968, 0.019811380535735505]","[0.4787774264771371, 0.1508026401737623, 0.1571997965835194, 0.2132201367655812]"
369133708,2014,"[0.5066833215149554, 0.3845275448780033, 0.10877482717441468, 1.4306432626585225e-05]","[0.3166512656609271, 0.33832894850835055, 0.17965001729507643, 0.16536976853564586]"
369133708,2015,"[0.3206787590680905, 0.2353108259975167, 0.32652490561855174, 0.11748550931584117]","[0.2857784891374371, 0.11784384804084606, 0.4426106454357614, 0.15376701738595533]"
369133708,2016,"[0.4262310033496418, 0.2569072320886089, 0.24726672148964512, 0.0695950430721041]","[0.3120155186771125, 0.09127405770038692, 0.41894758665359627, 0.17776283696890413]"
369133708,2017,"[0.3287303169127946, 0.3659940446122075, 0.2669767236939362, 0.03829891478106177]","[0.2360916123969067, 0.25513043573210015, 0.2739574057491213, 0.2348205461218718]"
369133708,2018,"[0.32422772396247, 0.3732677753843, 0.26850425736737976, 0.03400024328585006]","[0.09829894768859501, 0.34415940810347023, 0.42372380227223544, 0.13381784193569937]"
369133708,2019,"[0.30450390315218384, 0.41889316868419535, 0.25407910185032345, 0.02252382631329731]","[0.22147428909931835, 0.3634957032173436, 0.36150567357400676, 0.05352433410933132]"
369133708,2020,"[0.3301881214190138, 0.36223436622774213, 0.2699420277647303, 0.03763548458851373]","[0.12533852214936364, 0.47197251453328243, 0.26092229286590907, 0.14176667045144498]"
369133708,2021,"[0.3346343745112591, 0.35905886379790586, 0.27204268719364777, 0.034264074497187325]","[0.2303636280345388, 0.24937039497702718, 0.2753713396064928, 0.24489463738194114]"
369133708,2022,"[0.25699476331297955, 0.46352608363282477, 0.23527474827708295, 0.04420440477711271]","[0.1517517767342077, 0.5069719323442587, 0.2316556909710039, 0.10962059995052968]"
369133708,2023,"[0.33746123818092677, 0.5413976909754267, 0.07990976008623944, 0.04123131075740698]","[0.2520947220247708, 0.24639220030229186, 0.23603623227652207, 0.2654768453964153]"
2995172877,2007,"[0.3952697548861547, 0.3020985491912081, 0.27547580363135704, 0.0271558922912801]","[0.5536048170755546, 0.1693500203454829, 0.22856195136462162, 0.04848321121434087]"
2995172877,2008,"[0.6129662941057644, 0.2993238355148408, 0.08740633842945715, 0.00030353194993758097]","[0.479627558674744, 0.2776216002842545, 0.12506804159111334, 0.11768279944988824]"
